day,month,year,log_ret,react_label,equally_weighted_index,equally_weighted_volume,date,common
9,2,2021,-0.012025246044154784,Down,295.09400000000005,427947.20000000007,2021-02-09,1
10,2,2021,0.008966975605973425,Up,297.75200000000007,393054.4,2021-02-10,1
11,2,2021,0.009632652784490471,Up,300.634,452816.6,2021-02-11,1
12,2,2021,0.006822208829184503,Up,302.692,456309.6000000001,2021-02-12,1
15,2,2021,-0.012887787522553828,Down,298.81600000000003,487501.80000000005,2021-02-15,1
16,2,2021,0.012901002188189927,Up,302.696,359740.20000000007,2021-02-16,1
17,2,2021,-0.0017326098622658498,Down,302.172,437111.0,2021-02-17,1
18,2,2021,-0.0013909037154061729,Down,301.752,415573.20000000007,2021-02-18,1
19,2,2021,0.03536371469412433,Up,312.61400000000003,1436391.8,2021-02-19,1
22,2,2021,0.0269577837346421,Up,321.156,899726.0000000001,2021-02-22,1
23,2,2021,-0.003799759365940163,Down,319.938,812798.2,2021-02-23,1
24,2,2021,-0.022531249552204646,Down,312.81,505761.20000000007,2021-02-24,1
25,2,2021,0.019714240477793816,Up,319.038,555098.0,2021-02-25,1
26,2,2021,-0.029964478835085927,Down,309.62,722477.0,2021-02-26,1
1,3,2021,0.02488007896709319,Up,317.42,708098.8,2021-03-01,1
2,3,2021,0.006925744193449814,Up,319.62600000000003,462113.6,2021-03-02,1
3,3,2021,0.002118982556498154,Up,320.30400000000003,476100.4,2021-03-03,1
4,3,2021,0.001528627746195989,Up,320.79400000000004,411190.6,2021-03-04,1
5,3,2021,0.015060861116099295,Up,325.66200000000003,462879.20000000007,2021-03-05,1
8,3,2021,0.03396173496451975,Up,336.91200000000003,594556.8,2021-03-08,1
9,3,2021,-0.01629652839287951,Down,331.466,506097.4,2021-03-09,1
10,3,2021,-0.004650791426067279,Down,329.928,506247.2,2021-03-10,1
11,3,2021,-0.01742747682455029,Down,324.228,539163.4,2021-03-11,1
12,3,2021,-0.009775345855510893,Down,321.074,375782.2,2021-03-12,1
15,3,2021,0.011882750277194125,Up,324.91200000000003,376819.0,2021-03-15,1
16,3,2021,-0.0017928604615718932,Down,324.33,339129.80000000005,2021-03-16,1
