day,month,year,log_ret,react_label,date,common
7,8,2017,-0.01387725,Down,2017-08-07,1
8,8,2017,-0.003686339,Down,2017-08-08,1
9,8,2017,0.010831135,Up,2017-08-09,1
10,8,2017,-0.0088534,Down,2017-08-10,1
11,8,2017,-0.010064945,Down,2017-08-11,1
14,8,2017,0.016605037,Up,2017-08-14,1
15,8,2017,-0.001005898,Down,2017-08-15,1
16,8,2017,0.016393527,Up,2017-08-16,1
17,8,2017,-0.006417383,Down,2017-08-17,1
18,8,2017,0.016497269,Up,2017-08-18,1
21,8,2017,0.025593447,Up,2017-08-21,1
22,8,2017,-0.010882019,Down,2017-08-22,1
23,8,2017,-0.005194891,Down,2017-08-23,1
24,8,2017,0.004415564,Up,2017-08-24,1
25,8,2017,0.002111921,Up,2017-08-25,1
28,8,2017,0.008485092,Up,2017-08-28,1
29,8,2017,-0.01367045,Down,2017-08-29,1
30,8,2017,0.007768173,Up,2017-08-30,1
31,8,2017,0.019794334,Up,2017-08-31,1
1,9,2017,0.010398646,Up,2017-09-01,1
4,9,2017,-0.00873305,Down,2017-09-04,1
5,9,2017,0.026610364,Up,2017-09-05,1
6,9,2017,-0.006223613,Down,2017-09-06,1
7,9,2017,-0.006659593,Down,2017-09-07,1
8,9,2017,-0.00852566,Down,2017-09-08,1
11,9,2017,0.016138321,Up,2017-09-11,1
12,9,2017,0.00515219,Up,2017-09-12,1
13,9,2017,-0.002513914,Down,2017-09-13,1
14,9,2017,-0.01427415,Down,2017-09-14,1
15,9,2017,-0.002103387,Down,2017-09-15,0
18,9,2017,0.003125383,Up,2017-09-18,1
19,9,2017,0.006339333,Up,2017-09-19,1
20,9,2017,-0.008099856,Down,2017-09-20,1
21,9,2017,-0.015993497,Down,2017-09-21,1
22,9,2017,0.013660828,Up,2017-09-22,1
25,9,2017,0.00369971,Up,2017-09-25,1
26,9,2017,-0.018456061,Down,2017-09-26,1
27,9,2017,-0.011051982,Down,2017-09-27,1
28,9,2017,0.019977402,Up,2017-09-28,1
29,9,2017,0.006515625,Up,2017-09-29,1
2,10,2017,0.00505431,Up,2017-10-02,1
3,10,2017,0.013066837,Up,2017-10-03,1
4,10,2017,0.01344323,Up,2017-10-04,1
5,10,2017,-0.003590987,Down,2017-10-05,0
6,10,2017,-0.015182423,Down,2017-10-06,1
9,10,2017,0.006780945,Up,2017-10-09,1
10,10,2017,0.028578607,Up,2017-10-10,1
11,10,2017,-0.001413618,Down,2017-10-11,1
12,10,2017,0.010226914,Up,2017-10-12,1
13,10,2017,0.008945383,Up,2017-10-13,0
16,10,2017,-0.013851595,Down,2017-10-16,1
17,10,2017,-0.001891706,Down,2017-10-17,0
18,10,2017,0.01339667,Up,2017-10-18,1
19,10,2017,-5.19e-05,Down,2017-10-19,1
20,10,2017,-0.002834859,Down,2017-10-20,1
23,10,2017,0.008593501,Up,2017-10-23,1
24,10,2017,-0.036201187,Down,2017-10-24,1
25,10,2017,-0.001599617,Down,2017-10-25,1
26,10,2017,-0.007873192,Down,2017-10-26,1
27,10,2017,-0.010713207,Down,2017-10-27,1
30,10,2017,0.010680626,Up,2017-10-30,1
31,10,2017,-0.004415452,Down,2017-10-31,1
1,11,2017,-0.002301021,Down,2017-11-01,1
2,11,2017,-0.037960743,Down,2017-11-02,1
3,11,2017,0.010530321,Up,2017-11-03,1
6,11,2017,0.016011861,Up,2017-11-06,1
7,11,2017,-0.017972738,Down,2017-11-07,1
8,11,2017,0.02947603,Up,2017-11-08,1
9,11,2017,-0.034178594,Down,2017-11-09,1
10,11,2017,0.003242111,Up,2017-11-10,1
13,11,2017,0.00326287,Up,2017-11-13,1
14,11,2017,-0.021175117,Down,2017-11-14,1
15,11,2017,0.032949596,Up,2017-11-15,1
16,11,2017,-0.002895632,Down,2017-11-16,1
17,11,2017,-0.036063014,Down,2017-11-17,1
20,11,2017,0.014392665,Up,2017-11-20,1
21,11,2017,0.022866121,Up,2017-11-21,1
22,11,2017,-0.012893674,Down,2017-11-22,1
23,11,2017,-0.012410608,Down,2017-11-23,1
24,11,2017,-0.032966584,Down,2017-11-24,1
27,11,2017,-0.004492064,Down,2017-11-27,1
28,11,2017,0.003510926,Up,2017-11-28,1
29,11,2017,-0.021087375,Down,2017-11-29,1
30,11,2017,0.019927103,Up,2017-11-30,1
1,12,2017,0.004962621,Up,2017-12-01,1
4,12,2017,0.002540384,Up,2017-12-04,1
5,12,2017,-0.004215881,Down,2017-12-05,1
6,12,2017,0.016115584,Up,2017-12-06,1
7,12,2017,-0.013923216,Down,2017-12-07,1
8,12,2017,-0.014549932,Down,2017-12-08,1
11,12,2017,0.012914236,Up,2017-12-11,1
12,12,2017,0.014124239,Up,2017-12-12,1
13,12,2017,0.017346773,Up,2017-12-13,1
14,12,2017,-0.049595363,Down,2017-12-14,1
15,12,2017,0.003856024,Up,2017-12-15,1
18,12,2017,0.016307394,Up,2017-12-18,1
19,12,2017,-0.011021303,Down,2017-12-19,1
20,12,2017,-0.0110832,Down,2017-12-20,1
21,12,2017,-0.002595772,Down,2017-12-21,1
22,12,2017,0.014270807,Up,2017-12-22,1
27,12,2017,0.020540826,Up,2017-12-27,1
28,12,2017,0.012661599,Up,2017-12-28,0
29,12,2017,-1.07e-05,Down,2017-12-29,1
2,1,2018,-0.021928467,Down,2018-01-02,1
3,1,2018,-0.024374401,Down,2018-01-03,1
4,1,2018,0.014211986,Up,2018-01-04,1
5,1,2018,0.025010529,Up,2018-01-05,1
8,1,2018,-0.03417628,Down,2018-01-08,1
9,1,2018,0.004248692,Up,2018-01-09,1
10,1,2018,0.000790749,Up,2018-01-10,1
11,1,2018,-0.011116889,Down,2018-01-11,1
12,1,2018,-0.023847593,Down,2018-01-12,1
15,1,2018,-0.004763695,Down,2018-01-15,1
16,1,2018,0.00831768,Up,2018-01-16,1
17,1,2018,-0.024993754,Down,2018-01-17,1
18,1,2018,-0.016216897,Down,2018-01-18,1
19,1,2018,0.002309644,Up,2018-01-19,1
22,1,2018,0.018175239,Up,2018-01-22,1
23,1,2018,0.008736939,Up,2018-01-23,0
24,1,2018,-0.027648069,Down,2018-01-24,1
25,1,2018,0.005025979,Up,2018-01-25,1
26,1,2018,-0.002528759,Down,2018-01-26,1
29,1,2018,-0.022854927,Down,2018-01-29,1
30,1,2018,0.014665014,Up,2018-01-30,1
31,1,2018,0.007063009,Up,2018-01-31,1
1,2,2018,0.023862845,Up,2018-02-01,1
2,2,2018,0.029526668,Up,2018-02-02,1
5,2,2018,-0.008706949,Down,2018-02-05,1
