topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.052,0.049,0.045,0.04,0.037,0.034,0.032,0.03,0.029,0.028,0.027,0.026,0.025,0.024,0.024,0.022,0.022,0.021,0.02,0.02,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.013,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic69,facil,construct,land,phase,build,project,start,based_salmon_farm,complet,expans,initi,ton,locat,rais,annual,full,andfjord_salmon,metric,capac,next,proximar,begin,alreadi,site,squar,stage,track,first_harvest,near,production_capac,smart,local,hous,addit,place,japan,kick,andfjord,area,agreement,pool,commenc,cost,approxim,hog,atlantic_salmon,ultim,kvaln,design,tank,foot,fast,first_half,mileston,nutreco,finish,schedul,meter,run,pilot,rasmussen,fourth_quart,estim,final,largest,readi,reach,growout,gut,nielsen,ramp,deliv,sign,based_salmon_compani,firm,seek,target,nordic_aqua_partn,begun,aim,prepar,euronext,earli,aqua,next_year,budget,set,salmon_per_year,potenti,nearbi,based_salmon,mount,batch,first_quart,built,martin,underway,nodland,adjac,proxim
 ,0.074,0.053,0.043,0.042,0.037,0.031,0.022,0.019,0.017,0.016,0.015,0.015,0.014,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic70,estim,analyst,target,salmon_pric,buy,recommend,lower,nordea,hold,stock,higher,adjust,downgrad,kilo,biomass,believ,sell,firm,wrote,suppli,previou,weaker,averag,weak,forecast,posit,cut,abg,due,collier,salmon_compani,brokerag,giskeodegaard,nok,same_tim,sundal,second_half,maintain,rais,share,salmar,lead,upgrad,updat,outlook,slaughter,strat,salmon_sector,next_year,kolbjorn,previous,sector,giskeodegard,consensu,neg,oslo,indic,fourth_quart,situat,norway_royal_salmon,reason,grieg_seafood,bank,tønseth,currenc,kroner,lift,reiter,handelsbanken,austevol,forward,underli,volum,revis,lerøi,ege,senior,tdn,columbi,rolland,kilogram,seb,moder,write,direct,krone,giskeødegård,dividend,therefor,leroy_seafood,neutral,somewhat,marine_harvest,august,unchang,kept,partli,bohren,vidar,broker
 ,0.086,0.044,0.039,0.035,0.031,0.03,0.025,0.022,0.021,0.016,0.016,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic71,analyst,term,investor,risk,stock,sparebank,johannessen,aukner,believ,share_pric,note,volum,dnb,bank,may,short,potenti,bakken,equiti,pareto_secur,next,valuat,nordbi,much,tonseth,gener,past,emil,posit,longer,look,trade,think,limit,carl,strong,kepler,surpris,cheuvreux,predict,share,alexand,rel,probabl,view,might,agre,pareto,appear,dansk,upsid,ivar,better,knut,prove,disappoint,pictur,tore,seem,bullish,kjola,oslo_stock_exchang,olsen,johnsen,bit,buy,reaction,christian,cover,move,almost,reason,exposur,succeed,unlik,index,prospect,focu,few_year,uncertainti,carnegi,alon,given,coupl,bring,myrholt,benefit,highlight,faith,react,vinter,watcher,close,though,toward,today,leroy_seafood,riski,obvious,easier
 ,0.088,0.021,0.021,0.021,0.021,0.017,0.017,0.016,0.016,0.015,0.014,0.014,0.014,0.013,0.012,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic72,retail,fresh,custom,supplier,sell,frozen,restaur,chain,promot,foodservic,buyer,supermarket,suppli,fillet,store,qualiti,ad,consum,whole,sushi,sourc,purchas,distribut,chef,avail,counter,processor,item,pack,buy,rang,us_market,throughout,menu,wholesal,distributor,portion,waitros,start,outlet,director,premium,usa,nationwid,groceri,shop,pre,morrison,tradit,first_tim,popular,great,grown,alreadi,captain,shelv,categori,featur,websit,onlin,carri,wegman,aquascot,roughli,mind,caught,effort,bar,fishmong,rich,housego,major,safeway,rapidli,offer,warehous,texa,recip,bread,hand,sprout,colorado,farmed_salmon,pound,lake,tast,sold,dine,penetr,abl,finger,salt,falfish,happi,dedic,supply_chain,booth,case,relationship,deutsch
 ,0.088,0.072,0.042,0.038,0.037,0.032,0.03,0.028,0.023,0.02,0.019,0.019,0.018,0.017,0.015,0.014,0.012,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic73,suppli,demand,contract,low,strong,remain,level,global,outlook,spot,salmon_pric,good,stabl,salmon_market,predict,next_year,limit,rel,factor,high_pric,normal,keep,forecast,higher,stronger,last,pool,histor,volatil,although,tight,nikolik,trend,spot_pric,season,rabobank,rang,stabil,favor,rate,driven,ahead,second_half,return,dollar,extrem,strong_demand,combin,coupl,push,prospect,pick,though,currenc,forward,sign,mean,bounc,avail,anticip,volum,exchang,correct,tighter,flat,balanc,marten,tighten,dynam,gorjan,short,curv,moment,rebound,nevertheless,lower,weaken,set,side,forese,hedg,fishpool,term,lift,optimist,underpin,persist,stay,bottom,entri,view,percentag,bargain,fix,spur,same_tim,unlik,drive,dampen,specul
 ,0.112,0.1,0.045,0.034,0.029,0.029,0.027,0.024,0.021,0.018,0.016,0.015,0.014,0.013,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic74,tassal,huon,aud,australia,australian,tasmania,bay,intern,mark,environ,channel,harbour,tasmanian,ryan,domest,macquari,fish_farm,petuna,leas,bender,signific,salmon_produc,mix,news,financial_year,coast,concern,environment,abc,peter,expand,seal,reloc,expans,harbor,number,epa,pen,biomass,strateg,south,allow,west,prawn,protect,island,grown,okehampton,approv,assess,patent,next,domestic_market,fortun,western,enabl,shore,mercuri,past,wholesal,salmon_industri,gain,freight,deliv,premier,ridley,stim,proceed,substanti,infrastructur,surfer,tourism,revis,recent,farmer,onshor,queensland,wood,half,explor,last_month,controversi,state,tonnag,advoc,ford,east,bacon,founder,balanc,mareterram,wale,rockliff,beach,exacerb,abalon,local,norfolk,believ,properti
 ,0.057,0.053,0.04,0.032,0.029,0.024,0.017,0.017,0.015,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic75,day,close,monday,wednesday,tuesday,thursday,friday,announc,last,last_week,end,open,news,call,hour,order,morn,alreadi,sever,yet,indic,clear,may,sent,wait,cite,lose,almost,start,earlier,similar,send,statement,move,later,receiv,afternoon,within,insid,week,wipe,updat,trade,began,preliminari,soon,saturday,night,taken,far,earli,weekend,coupl,heavi,finish,eight,possibl,yesterday,unabl,consider,seven,begin,slowli,reaction,brief,begun,contact,came,mid,past,bell,tomorrow,rang,becam,fair,appear,re,exact,sunday,fifth,hope,shave,remain,throughout,round,previou,alon,block,major,massiv,met,refer,confirm,steadili,hit,sept,instruct,amid,done,singl
 ,0.127,0.071,0.046,0.046,0.04,0.037,0.034,0.033,0.028,0.028,0.027,0.022,0.022,0.017,0.017,0.014,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic76,feed,ingredi,oil,use,altern,protein,sustain,fishmeal,omega,marin,carbon,sourc,fish_oil,emiss,meal,food,anim,alga,footprint,ga,insect,reduc,nutrit,byproduct,solut,human,energi,plant,acid,aim,singl,diet,need,commerci,wast,scale,giant,replac,climat,ikea,level,fatti,partnership,trial,pet,biomega,fed,benefit,manufactur,mathiesen,firm,similar,cell,corbion,dha,seawe,greenhous,salmonid,qualiti,rich,speci,terravia,fish_fe,algal,materi,iffo,nutrient,salmon_fe,fli,microalga,util,inclus,step,multi,novel,ad,veramari,rang,ferment,kelp,test,avail,promis,extract,fat,dioxid,aquaculture_fe,grade,ton,circular,veget,branch,protix,amount,deep,epa,content,novonutri,visser,black
 ,0.055,0.039,0.038,0.037,0.032,0.03,0.021,0.021,0.018,0.017,0.014,0.014,0.014,0.012,0.012,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic77,support,program,creat,job,provid,econom,help,addit,part,receiv,govern,associ,major,lead,fund,effort,benefit,form,economi,employ,agricultur,last,hope,along,award,protect,direct,local,contribut,call,need,spent,critic,partnership,incent,alon,boost,assist,aid,institut,intern,creation,organ,respons,detail,ten,relief,usda,unveil,nearli,given,foundat,worth,road,futur,dollar,nation,depart,establish,budget,demonstr,wage,catfish,recogn,payrol,money,staff,face,guid,ongo,recipi,farmed_salmon_industri,cover,spend,stick,encourag,council,coast,promot,consider,timelin,busi,approxim,extens,next,polici,sba,ppp,vulner,use,administr,facilit,monica,indirect,hub,workforc,hand,agenc,exampl,area
 ,0.061,0.037,0.029,0.029,0.029,0.028,0.027,0.026,0.026,0.025,0.025,0.021,0.019,0.018,0.018,0.017,0.016,0.015,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic78,worker,employe,case,test,coronaviru,posit,health,covid,plant,commun,quarantin,measur,facil,outbreak,infect,peopl,safeti,processing_pl,close,spread,travel,state,citi,region,prevent,home,staff,contact,local,protocol,remot,public,protect,day,arriv,viru,isol,resid,medic,confirm,among,care,factori,workforc,requir,distanc,number,shift,week,social,season,labor,prepar,employ,essenti,live,safe,individu,anchorag,remain,person,pandem,outsid,neg,hospit,daili,death,monitor,shut,screen,face,identifi,clean,situat,june,receiv,temporarili,part,non,area,provid,room,mask,offic,servic,implement,town,sever,contagion,mandat,across,conduct,self,hygien,transport,procedur,keep,strict,center,potenti
 ,0.062,0.051,0.038,0.034,0.026,0.025,0.023,0.02,0.016,0.016,0.015,0.015,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic79,need,right,want,differ,import,tell,alway,think,thing,look,abl,know,find,talk,lot,better,give,tri,much,stori,bring,learn,understand,hope,idea,big,start,clear,peopl,futur,possibl,moment,best,keep,chang,part,natur,believ,rather,depend,entir,compet,done,good,involv,matter,someth,easi,term,competitor,sens,perspect,direct,definit,crucial,exec,turn,messag,lesson,modern,mention,instead,differenti,fight,past,convinc,relev,open,speak,room,mean,approach,succeed,simpl,actual,viabl,place,anyon,exampl,word,stress,success,option,enough,choos,coupl,away,mistak,biggest,soon,realiti,mind,without,interest,challeng,aspect,arena,focus,let,task
 ,0.078,0.031,0.031,0.03,0.023,0.022,0.019,0.019,0.019,0.017,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic80,meet,show,busi,director,custom,place,event,note,move,ad,boston,next,forward,set,key,organ,abl,schedul,keep,postpon,number,decis,ahead,cancel,intern,tuesday,introduc,hold,presid,recent,particip,face,abil,concern,upcom,opportun,expo,re,april,attend,space,feel,march,virtual,extraordinari,call,find,step,confer,websit,taken,brussel,video,access,directli,via,ensur,lost,push,institut,met,exhibit,surround,visit,proceed,tri,center,prepar,diversifi,beyond,messag,relat,nine,host,morey,detail,consist,nfi,exhibitor,relationship,jim,wednesday,date,minut,appropri,miss,look,without,contact,costli,brief,given,gather,convent,reschedul,massachusett,hope,side,activ,calendar
 ,0.065,0.048,0.026,0.025,0.024,0.019,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic81,smolt,facil,capac,plant,invest,hatcheri,expans,build,grow,site,expand,post,exist,annual,transfer,larger,production_capac,futur,size,part,gram,complet,larg,use,sea,construct,unit,stage,strategi,processing_pl,step,locat,salmon_product,weight,infrastructur,upgrad,releas,averag,give,total,suffici,util,juvenil,self,allow,cycl,access,capabl,pre,seawat,shorten,bigger,togeth,ambiti,modern,third,settefisk,freshwat,saltwat,reduc,mainten,slaughterhous,exposur,value_chain,near,finnmark,achiev,laksefjord,spring,adamselv,next,overal,goal,nordland,squar,recircul,readi,alongsid,pedersen,doubl,signific,ardal,mid,add,ambit,lay,next_year,fulli,rana,tomren,shorter,steadili,grown,batch,spend,set,yet,few_year,brackish,addit
 ,0.138,0.083,0.054,0.054,0.052,0.047,0.026,0.023,0.023,0.02,0.019,0.018,0.016,0.015,0.014,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic82,financ,bank,issu,financi,loan,secur,capit,bond,green,debt,cash,term,credit,dnb,fund,rais,equiti,complet,money,use,corpor,payment,june,facil,agreement,liquid,amount,lender,flow,balanc,senior,act,convert,sheet,rabobank,becom,requir,de,posit,joint,advisor,sept,matur,expenditur,addit,refin,packag,asset,structur,nordea,announc,worth,connect,seafood_compani,subject,largest,significantli,exist,refinanc,success,link,flexibl,exposur,pay,convers,total,repay,dansk,revolv,heavili,arrang,expans,outstand,relat,give,fulli,client,borrow,unsecur,esg,tap,enterpris,suit,lend,certain,jong,liabil,creditor,paid,partli,proce,pignatel,condit,instrument,sharehold,strengthen,banco,sign,arctic,tranch
 ,0.045,0.044,0.042,0.036,0.035,0.032,0.031,0.029,0.028,0.027,0.026,0.022,0.02,0.019,0.018,0.017,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic83,mortal,loss,algal_bloom,site,caus,region,affect,die,alga,bloom,total,incid,biomass,event,mass,low,lost,los_lago,impact,estim,oxygen_level,hit,water,nearli,dead,monitor,weight,area,remov,harm,due,center,relat,activ,suffer,death,temperatur,occur,oxygen,sernapesca,march,number,approxim,kill,equival,summer,insur,blame,far,level,updat,kilogram,condit,mitig,conting,fjord,april,issu,aysen,dispos,lose,recent,massiv,gill,financi,dissolv,extraordinari,hab,ton,toxic,correspond,latest,experienc,note,plankton,concentr,southern,algal,presenc,action,damag,earlier,normal,elev,comau,abnorm,salmon_product,exact,chile,jellyfish,transfer,weigh,revis,deadli,unusu,environment,direct,outbreak,heterosigma,renihu
 ,0.072,0.05,0.039,0.032,0.028,0.024,0.023,0.021,0.02,0.02,0.019,0.018,0.018,0.017,0.017,0.016,0.015,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic84,system,water,close,technolog,use,contain,wast,fish_farm,locat,environment,allow,energi,cage,power,flow,instal,design,environ,fulli,clean,semi,zero,differ,open,discharg,sludg,tank,larg,collect,uniqu,tradit,scale,goal,pump,complet,float,full,depth,reduc,electr,recycl,meter,advantag,consist,optim,seawat,trial,patent,oxygen,commerci,friendli,footprint,earli,captur,shore,deep,bioga,ideal,hawthorn,known,pilot,provid,heat,kind,stage,longer,within,technic,engin,abl,requir,concret,life,fertil,wastewat,akvafutur,sub,releas,separ,solut,coastal,elimin,intak,acr,cool,convent,point,deeper,surfac,nutrient,behind,ll,sea,thrive,golden,hybrid,flexifarm,walker,salin,fece
 ,0.105,0.071,0.047,0.036,0.033,0.028,0.015,0.015,0.014,0.013,0.013,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic85,land,akva,project,salmon_evolut,contract,south,based_salmon_farm,dongwon,order,sign,construct,equip,korea,technolog,invest,secur,supplier,berg,aquacon,korean,end,intak,phase,recent,coast,ness,equiti,financ,based_salmon,complet,joint_ventur,west,fresh,middl,enter,ronja,cage,tonseth,deal,partner,facil,nordic_aqua_partn,maryland,indr,cancel,arm,hakon,private_plac,andr,tore,vike,east,deliveri,saudi,ink,financi,eastern,percent_stak,solut,flow,activ,nordic,knut,haroy,establish,backlog,arabia,eventu,postpon,march,capit,seafood_gi,aim,engin,potenti,brown,muri,outsid,start,henrik,tangen,chairman,roger,nutreco,massiv,ole,cyber,stake,kreft,halsebakk,ningbo,execut,along,inject,unit,bregal,based_salmon_produc,subsidiari,solid,egersund
 ,0.077,0.053,0.053,0.042,0.02,0.019,0.018,0.017,0.017,0.016,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic86,main,project,land,nordic_aquafarm,permit,nordic,kingfish,state,local,based_salmon_farm,citi,belfast,site,whole_ocean,move,california,properti,construct,united_st,receiv,facil,yellowtail,heim,resid,forward,applic,final,build,conserv,necessari,environment,oppon,engin,kuterra,opposit,erik,use,approv,commerci,obtain,massiv,acr,water,design,bay,offic,access,remain,public,fredrikstad,aquafarm,news,former,mill,american,netherland,naess,zeeland,right,discharg,propos,offici,bucksport,presid,submit,landown,coast,hartley,naf,interest,armi,ton,success,counti,closer,major,paper,set,metric,alreadi,ground,corp,council,humboldt,begin,emerg,watch,dutch,domain,town,locat,disput,west,depart,commun,soon,gener,emin,subsidiari,bring
